iter	Passed	Remaining
0	1	186
1	3	173
2	5	162
3	6	149
4	7	146
5	9	143
6	10	142
7	12	141
8	13	138
9	15	136
10	16	134
11	18	133
12	19	131
13	21	129
14	22	129
15	24	126
16	25	124
17	26	122
18	28	120
19	29	118
20	30	116
21	32	114
22	33	112
23	35	111
24	36	109
25	37	107
26	39	106
27	40	105
28	42	103
29	43	101
30	44	100
31	46	98
32	47	96
33	49	96
34	51	94
35	52	93
36	54	92
37	55	90
38	56	88
39	58	87
40	59	85
41	60	83
42	61	81
43	63	80
44	64	78
45	65	77
46	67	75
47	68	74
48	70	72
49	71	71
50	72	69
51	74	68
52	75	66
53	76	65
54	77	63
55	78	62
56	80	60
57	81	59
58	82	57
59	84	56
60	85	54
61	87	53
62	88	52
63	89	50
64	91	49
65	92	47
66	94	46
67	95	44
68	96	43
69	98	42
70	99	40
71	100	39
72	102	37
73	103	36
74	105	35
75	106	33
76	107	32
77	109	30
78	110	29
79	111	27
80	113	26
81	114	25
82	116	23
83	118	22
84	119	21
85	121	19
86	122	18
87	124	16
88	125	15
89	126	14
90	128	12
91	129	11
92	131	9
93	132	8
94	133	7
95	134	5
96	136	4
97	137	2
98	138	1
99	140	0
