iter	Passed	Remaining
0	160	160505
1	169	84474
2	172	57320
3	174	43483
4	178	35495
5	180	29907
6	182	25958
7	185	22987
8	187	20674
9	191	18983
10	194	17454
11	196	16138
12	197	15006
13	199	14029
14	200	13173
15	202	12427
16	204	11830
17	206	11269
18	208	10743
19	209	10268
20	211	9838
21	212	9446
22	213	9088
23	215	8759
24	217	8489
25	219	8226
26	221	7966
27	222	7726
28	224	7512
29	225	7301
30	227	7105
31	228	6920
32	230	6746
33	232	6611
34	234	6455
35	235	6307
36	236	6166
37	238	6035
38	239	5908
39	241	5786
40	242	5672
41	243	5564
42	248	5534
43	250	5434
44	251	5335
45	252	5242
46	254	5153
47	255	5067
48	256	4986
49	258	4907
50	260	4845
51	261	4772
52	263	4701
53	264	4633
54	265	4567
55	267	4505
56	268	4447
57	270	4390
58	271	4336
59	274	4302
60	275	4248
61	277	4194
62	278	4144
63	280	4095
64	281	4047
65	282	4001
66	284	3956
67	285	3912
68	286	3869
69	289	3846
70	291	3808
71	292	3769
72	293	3731
73	295	3693
74	296	3657
75	297	3622
76	299	3588
77	300	3555
78	302	3529
79	304	3501
80	305	3471
81	307	3439
82	308	3403
83	309	3377
84	311	3349
85	312	3322
86	314	3295
87	315	3268
88	317	3253
89	319	3228
90	320	3203
91	322	3178
92	323	3153
93	324	3130
94	326	3108
95	327	3085
96	329	3063
97	330	3040
98	332	3025
99	333	3005
100	335	2983
101	336	2962
102	337	2942
103	339	2922
104	340	2903
105	342	2884
106	343	2865
107	344	2848
108	346	2833
109	348	2815
110	349	2798
111	350	2781
112	352	2765
113	353	2748
114	355	2732
115	356	2716
116	357	2699
117	359	2690
118	361	2675
119	362	2659
120	364	2644
121	365	2627
122	366	2613
123	368	2600
124	369	2585
125	370	2571
126	371	2556
127	373	2544
128	375	2533
129	376	2520
130	377	2506
131	379	2495
132	381	2483
133	382	2471
134	384	2461
135	385	2450
136	387	2438
137	389	2430
138	391	2423
139	392	2413
140	394	2401
141	395	2388
142	396	2376
143	397	2365
144	399	2354
145	401	2349
146	403	2339
147	404	2329
148	406	2319
149	407	2311
150	409	2301
151	410	2291
152	412	2282
153	413	2271
154	415	2266
155	417	2258
156	418	2249
157	420	2239
158	421	2230
159	422	2220
160	423	2208
161	425	2200
162	426	2190
163	427	2181
164	430	2177
165	431	2169
166	433	2160
167	434	2151
168	435	2143
169	437	2134
170	438	2126
171	439	2117
172	441	2109
173	442	2101
174	445	2098
175	446	2090
176	447	2082
177	449	2074
178	450	2066
179	451	2058
180	453	2051
181	454	2043
182	455	2035
183	457	2029
184	459	2023
185	460	2016
186	462	2008
187	463	2001
188	464	1994
189	466	1987
190	467	1980
191	468	1973
192	470	1966
193	472	1963
194	474	1957
195	475	1950
196	476	1943
197	478	1936
198	479	1929
199	480	1922
200	482	1916
201	483	1909
202	484	1903
203	487	1902
204	489	1896
205	490	1890
206	491	1884
207	493	1880
208	495	1876
209	497	1871
210	499	1866
211	501	1865
212	503	1860
213	505	1855
214	506	1849
215	508	1844
216	509	1839
217	511	1833
218	513	1830
219	515	1826
220	517	1823
221	518	1817
222	520	1812
223	521	1806
224	523	1802
225	524	1796
226	526	1792
227	527	1787
228	530	1785
229	532	1781
230	533	1776
231	535	1771
232	536	1766
233	537	1760
234	539	1755
235	540	1750
236	542	1744
237	543	1739
238	545	1737
239	547	1732
240	548	1727
241	549	1722
242	551	1717
243	552	1712
244	553	1706
245	555	1701
246	556	1696
247	557	1691
248	560	1689
249	561	1684
250	562	1679
251	564	1675
252	565	1670
253	567	1665
254	568	1660
255	569	1655
256	571	1650
257	572	1646
258	574	1642
259	575	1637
260	576	1633
261	578	1629
262	579	1624
263	581	1619
264	582	1615
265	583	1610
266	585	1606
267	587	1604
268	588	1600
269	590	1596
270	591	1592
271	593	1588
272	595	1585
273	596	1581
274	598	1576
275	599	1572
276	602	1571
277	603	1568
278	605	1564
279	606	1559
280	607	1555
281	609	1551
282	610	1547
283	611	1542
284	613	1538
285	614	1534
286	616	1531
287	618	1528
288	619	1524
289	621	1520
290	622	1516
291	623	1512
292	625	1508
293	626	1504
294	627	1500
295	629	1496
296	631	1493
297	632	1490
298	634	1486
299	635	1482
300	636	1479
301	638	1475
302	639	1472
303	641	1468
304	642	1464
305	645	1464
306	647	1460
307	648	1456
308	649	1453
309	651	1449
310	652	1445
311	653	1441
312	655	1437
313	656	1434
314	658	1432
315	660	1429
316	661	1425
317	663	1422
318	664	1418
319	665	1414
320	667	1410
321	668	1407
322	669	1403
323	671	1400
324	673	1398
325	674	1395
326	676	1392
327	678	1389
328	679	1386
329	681	1382
330	682	1379
331	683	1375
332	685	1372
333	687	1370
334	688	1367
335	690	1364
336	691	1360
337	692	1357
338	694	1353
339	695	1350
340	696	1346
341	698	1343
342	699	1340
343	702	1338
344	703	1335
345	704	1332
346	706	1328
347	707	1325
348	708	1322
349	710	1319
350	711	1315
351	713	1313
352	715	1310
353	717	1308
354	718	1305
355	719	1302
356	721	1298
357	722	1295
358	723	1292
359	725	1289
360	727	1287
361	728	1284
362	730	1282
363	732	1279
364	733	1276
365	735	1273
366	736	1270
367	737	1267
368	739	1264
369	741	1262
370	743	1259
371	746	1260
372	748	1257
373	749	1254
374	751	1251
375	752	1248
376	753	1245
377	755	1242
378	756	1239
379	757	1236
380	760	1235
381	761	1232
382	763	1229
383	764	1226
384	766	1223
385	767	1220
386	768	1217
387	770	1215
388	771	1212
389	773	1209
390	775	1207
391	776	1204
392	777	1201
393	779	1199
394	781	1196
395	782	1193
396	783	1190
397	785	1187
398	786	1184
399	788	1183
400	790	1180
401	791	1177
402	793	1174
403	794	1172
404	796	1170
405	797	1167
406	799	1164
407	800	1161
408	803	1160
409	804	1157
410	805	1154
411	807	1152
412	808	1149
413	810	1146
414	811	1143
415	812	1141
416	814	1138
417	815	1135
418	818	1134
419	820	1132
420	821	1129
421	822	1127
422	824	1124
423	825	1121
424	826	1118
425	828	1115
426	829	1113
427	830	1110
428	832	1108
429	834	1105
430	835	1103
431	837	1100
432	838	1098
433	840	1095
434	841	1092
435	842	1090
436	844	1087
437	848	1088
438	850	1086
439	852	1084
440	854	1082
441	855	1080
442	857	1078
443	863	1081
444	865	1079
445	867	1077
446	869	1075
447	870	1072
448	872	1070
449	875	1070
450	877	1068
451	879	1066
452	881	1064
453	883	1062
454	885	1060
455	886	1057
456	890	1058
457	892	1056
458	894	1054
459	899	1055
460	900	1053
461	905	1053
462	906	1051
463	908	1049
464	909	1046
465	911	1044
466	912	1041
467	914	1039
468	916	1037
469	917	1034
470	919	1032
471	920	1029
472	922	1027
473	923	1024
474	925	1022
475	926	1019
476	927	1017
477	929	1014
478	930	1012
479	933	1010
480	934	1008
481	935	1005
482	937	1003
483	938	1000
484	940	998
485	941	995
486	943	993
487	944	991
488	946	989
489	948	987
490	950	985
491	951	982
492	953	980
493	954	978
494	956	976
495	958	974
496	960	971
497	963	971
498	966	970
499	968	968
500	971	967
501	973	965
502	975	963
503	979	963
504	982	962
505	984	961
506	988	961
507	1011	979
508	1013	978
509	1021	981
510	1024	980
511	1030	982
512	1034	982
513	1041	984
514	1043	982
515	1045	980
516	1047	979
517	1061	987
518	1062	985
519	1065	983
520	1067	981
521	1071	980
522	1073	978
523	1075	977
524	1078	975
525	1082	975
526	1090	978
527	1092	977
528	1096	976
529	1102	977
530	1105	976
531	1107	974
532	1116	977
533	1118	976
534	1120	974
535	1123	972
536	1125	970
537	1137	976
538	1140	975
539	1143	974
540	1148	974
541	1150	972
542	1152	969
543	1154	967
544	1163	971
545	1166	969
546	1169	968
547	1171	966
548	1182	971
549	1185	969
550	1187	967
551	1189	965
552	1191	963
553	1195	962
554	1198	960
555	1200	958
556	1203	956
